rank,account_address,account_label,raw_score,anchored_score,delta_vs_anchor_60,delta_vs_anchor_raw,final_score,decision_score_basis,decision,decision_zh,anchor_version,anchor_account,summary_source,deployable_event_equivalent,weighted_multi_market_risk_ratio,exclusive_concurrent_leg_ratio,nested_concurrent_leg_ratio,active_trading_days,trade_count,dual_side_buy_usdc_ratio,noncopyable_token_fast_buy_ratio,traded_markets,positions_value,report_en,report_zh
16,0xdd9ed02bb67b2ec504be24b98febd651fdac49b3,Dry-Legislature,24.59,48.64,-11.36,-17.47,48.64,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,9.0,0.155007,0.0,0.636809,24.0,6914.0,0.367082,0.008225,924,14230.0984,accounts/0xdd9ed02bb67b2ec504be24b98febd651fdac49b3/report_en.md,accounts/0xdd9ed02bb67b2ec504be24b98febd651fdac49b3/report_zh.md
17,0x33c9101c64b9ba0ffcc200408afa2e91891f5124,Long-Guitar,23.93,48.22,-11.78,-18.13,48.22,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,261.5,0.049889,0.469585,0.0,29.0,869.0,0.156597,0.018127,1056,200.0979,accounts/0x33c9101c64b9ba0ffcc200408afa2e91891f5124/report_en.md,accounts/0x33c9101c64b9ba0ffcc200408afa2e91891f5124/report_zh.md
18,0x9238743eeba8bbfe9e85ac7ba2e1e3d77877b73e,High-Alarm,23.14,47.7,-12.3,-18.92,47.7,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,98.0,0.140372,0.139076,0.440287,31.0,2920.0,0.311742,0.136894,1461,16542.6337,accounts/0x9238743eeba8bbfe9e85ac7ba2e1e3d77877b73e/report_en.md,accounts/0x9238743eeba8bbfe9e85ac7ba2e1e3d77877b73e/report_zh.md
19,0x161a7f666ca49d592848cf415b42f49a84714103,Imaginary-Gallery,17.29,43.9,-16.1,-24.77,43.9,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,723.5,0.44426,0.573948,0.0,31.0,13890.0,0.095699,0.018701,9021,37097.2761,accounts/0x161a7f666ca49d592848cf415b42f49a84714103/report_en.md,accounts/0x161a7f666ca49d592848cf415b42f49a84714103/report_zh.md
20,0x5e3040eb55cb0f4f86eb0af40cb84c9d3585acbf,Gargantuan-Heater,13.29,41.3,-18.7,-28.77,41.3,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,1319.0,0.495404,0.697307,0.615535,31.0,13787.0,0.266241,0.0,12272,32297.3246,accounts/0x5e3040eb55cb0f4f86eb0af40cb84c9d3585acbf/report_en.md,accounts/0x5e3040eb55cb0f4f86eb0af40cb84c9d3585acbf/report_zh.md
21,0xccf128f31a3af399c40dd9854c83b60101dd25a0,Velvety-Lion,10.61,39.56,-20.44,-31.45,39.56,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,90.0,0.558643,0.613,0.0,30.0,1231.0,0.200624,0.0,1972,66994.5651,accounts/0xccf128f31a3af399c40dd9854c83b60101dd25a0/report_en.md,accounts/0xccf128f31a3af399c40dd9854c83b60101dd25a0/report_zh.md
22,0xe542afd3881c4c330ba0ebbb603bb470b2ba0a37,Lonely-Bog,10.29,39.35,-20.65,-31.77,39.35,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,119.0,0.127059,0.56519,0.8632,31.0,22151.0,0.085975,0.211681,5011,111557.5712,accounts/0xe542afd3881c4c330ba0ebbb603bb470b2ba0a37/report_en.md,accounts/0xe542afd3881c4c330ba0ebbb603bb470b2ba0a37/report_zh.md
23,0xcbb5623096b78505a26524e642c5c9066e585ed9,Wide-Prospect,7.08,37.26,-22.74,-34.98,37.26,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,104.0,0.123341,0.690496,0.0,30.0,235.0,0.019217,0.001343,995,21395.6765,accounts/0xcbb5623096b78505a26524e642c5c9066e585ed9/report_en.md,accounts/0xcbb5623096b78505a26524e642c5c9066e585ed9/report_zh.md
24,0x30ceffb3ac4ea49881e271d5a69883b60e0dfdce,Gloomy-Date,6.85,37.11,-22.89,-35.21,37.11,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,30.0,0.115299,0.323362,0.0,31.0,4373.0,0.884816,0.487134,822,24.9494,accounts/0x30ceffb3ac4ea49881e271d5a69883b60e0dfdce/report_en.md,accounts/0x30ceffb3ac4ea49881e271d5a69883b60e0dfdce/report_zh.md
25,0x4df332e27f9ee3224f52ce30e3ce15c1075e788f,Far-Precipitation,32.66,32.66,-27.34,-42.06,32.66,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,135.5,0.820803,0.909046,0.0,30.0,13509.0,0.675899,0.0,8887,48833.3689,accounts/0x4df332e27f9ee3224f52ce30e3ce15c1075e788f/report_en.md,accounts/0x4df332e27f9ee3224f52ce30e3ce15c1075e788f/report_zh.md
26,0xdb5ad26b68d77ae966d29e7180147272ab7a3965,Intelligent-Length,32.66,32.66,-27.34,-42.06,32.66,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,0.0,0.475377,0.0,0.864537,31.0,54793.0,0.910322,0.097176,6729,39958.2467,accounts/0xdb5ad26b68d77ae966d29e7180147272ab7a3965/report_en.md,accounts/0xdb5ad26b68d77ae966d29e7180147272ab7a3965/report_zh.md
27,0xe732156a2d84cdfb4de831d3f11a22899e49898f,Glossy-Statute,32.66,32.66,-27.34,-42.06,32.66,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,77.0,0.198023,0.216828,0.43124,31.0,3394.0,0.473899,0.550955,2466,928.2429,accounts/0xe732156a2d84cdfb4de831d3f11a22899e49898f/report_en.md,accounts/0xe732156a2d84cdfb4de831d3f11a22899e49898f/report_zh.md
